DateRep,Countries and territories,Cases,Deaths
2020-01-21,Australia,0,0
2020-01-20,Australia,0,0
2020-01-19,Australia,0,0
2020-01-18,Australia,0,0
2020-01-17,Australia,0,0
2020-01-16,Australia,0,0
2020-01-15,Australia,0,0
2020-01-14,Australia,0,0
2020-01-13,Australia,0,0
2020-01-12,Australia,0,0
2020-01-11,Australia,0,0
2020-01-10,Australia,0,0
2020-01-09,Australia,0,0
2020-01-08,Australia,0,0
2020-01-07,Australia,0,0
2020-01-06,Australia,0,0
2020-01-05,Australia,0,0
2020-01-04,Australia,0,0
2020-01-03,Australia,0,0
2020-01-02,Australia,0,0
2020-01-01,Australia,0,0
2019-12-31,Australia,0,0
2020-03-26,Austria,606,4
2020-03-25,Austria,796,5
2020-03-24,Austria,855,9
2020-03-23,Austria,607,8
2020-03-22,Austria,375,2
2020-03-21,Austria,453,0
2020-03-20,Austria,550,2
2020-03-19,Austria,314,1
2020-03-18,Austria,316,0
2020-03-17,Austria,156,2
2020-03-16,Austria,205,0
2020-03-15,Austria,151,0
2020-03-14,Austria,143,0
2020-03-13,Austria,115,1
2020-03-12,Austria,64,0
2020-03-11,Austria,51,0
2020-03-10,Austria,29,0
2020-03-09,Austria,3,0
2020-03-08,Austria,25,0
2020-03-07,Austria,33,0
2020-03-06,Austria,12,0
2020-03-05,Austria,5,0
2020-03-04,Austria,6,0
2020-03-03,Austria,4,0
2020-03-02,Austria,4,0
2020-03-01,Austria,3,0
2020-02-29,Austria,2,0
2020-02-28,Austria,3,0
2020-02-27,Austria,0,0
2020-02-26,Austria,2,0
2020-02-25,Austria,0,0
2020-02-24,Austria,0,0
2020-02-23,Austria,0,0
2020-02-22,Austria,0,0
2020-02-21,Austria,0,0
2020-02-20,Austria,0,0
2020-02-19,Austria,0,0
2020-02-18,Austria,0,0
2020-02-17,Austria,0,0
2020-02-16,Austria,0,0
2020-02-15,Austria,0,0
2020-02-14,Austria,0,0
2020-02-13,Austria,0,0
2020-02-12,Austria,0,0
2020-02-11,Austria,0,0
2020-02-10,Austria,0,0
2020-02-09,Austria,0,0
2020-02-08,Austria,0,0
2020-02-07,Austria,0,0
2020-02-06,Austria,0,0
2020-02-05,Austria,0,0
2020-02-04,Austria,0,0
2020-02-03,Austria,0,0
2020-02-02,Austria,0,0
2020-02-01,Austria,0,0
2020-01-31,Austria,0,0
2020-01-30,Austria,0,0
2020-01-29,Austria,0,0
2020-01-28,Austria,0,0
2020-01-27,Austria,0,0
2020-01-26,Austria,0,0
2020-01-25,Austria,0,0
2020-01-24,Austria,0,0
2020-01-23,Austria,0,0
2020-01-22,Austria,0,0
2020-01-21,Austria,0,0
2020-01-20,Austria,0,0
2020-01-19,Austria,0,0
2020-01-18,Austria,0,0
2020-01-17,Austria,0,0
2020-01-16,Austria,0,0
2020-01-15,Austria,0,0
2020-01-14,Austria,0,0
2020-01-13,Austria,0,0
2020-01-12,Austria,0,0
2020-01-11,Austria,0,0
2020-01-10,Austria,0,0
2020-01-09,Austria,0,0
2020-01-08,Austria,0,0
2020-01-07,Austria,0,0
2020-01-06,Austria,0,0
2020-01-05,Austria,0,0
2020-01-04,Austria,0,0
2020-01-03,Austria,0,0
2020-01-02,Austria,0,0
2020-01-01,Austria,0,0
2019-12-31,Austria,0,0
2020-03-26,Azerbaijan,6,1
2020-03-25,Azerbaijan,15,0
2020-03-24,Azerbaijan,7,0
2020-03-23,Azerbaijan,12,0
2020-03-22,Azerbaijan,9,0
2020-03-21,Azerbaijan,0,1
2020-03-20,Azerbaijan,10,0
2020-03-19,Azerbaijan,6,0
2020-03-18,Azerbaijan,9,0
2020-03-17,Azerbaijan,0,0
2020-03-16,Azerbaijan,0,0
2020-03-15,Azerbaijan,6,0
2020-03-13,Azerbaijan,0,0
2020-03-12,Azerbaijan,2,0
2020-03-11,Azerbaijan,2,0
2020-03-07,Azerbaijan,3,0
2020-03-06,Azerbaijan,3,0
2020-03-02,Azerbaijan,2,0
2020-03-01,Azerbaijan,0,0
2020-02-29,Azerbaijan,1,0
2020-02-28,Azerbaijan,0,0
2020-02-27,Azerbaijan,0,0
2020-02-26,Azerbaijan,0,0
2020-02-25,Azerbaijan,0,0
2020-02-24,Azerbaijan,0,0
2020-02-23,Azerbaijan,0,0
2020-02-22,Azerbaijan,0,0
2020-02-21,Azerbaijan,0,0
2020-02-20,Azerbaijan,0,0
2020-02-19,Azerbaijan,0,0
2020-02-18,Azerbaijan,0,0
2020-02-17,Azerbaijan,0,0
2020-02-16,Azerbaijan,0,0
2020-02-15,Azerbaijan,0,0
2020-02-14,Azerbaijan,0,0
2020-02-13,Azerbaijan,0,0
2020-02-12,Azerbaijan,0,0
2020-02-11,Azerbaijan,0,0
2020-02-10,Azerbaijan,0,0
2020-02-09,Azerbaijan,0,0
2020-02-08,Azerbaijan,0,0
2020-02-07,Azerbaijan,0,0
2020-02-06,Azerbaijan,0,0
2020-02-05,Azerbaijan,0,0
2020-02-04,Azerbaijan,0,0
2020-02-03,Azerbaijan,0,0
2020-02-02,Azerbaijan,0,0
2020-02-01,Azerbaijan,0,0
2020-01-31,Azerbaijan,0,0
2020-01-30,Azerbaijan,0,0
2020-01-29,Azerbaijan,0,0
2020-01-28,Azerbaijan,0,0
2020-01-27,Azerbaijan,0,0
2020-01-26,Azerbaijan,0,0
2020-01-25,Azerbaijan,0,0
2020-01-24,Azerbaijan,0,0
2020-01-23,Azerbaijan,0,0
2020-01-22,Azerbaijan,0,0
2020-01-21,Azerbaijan,0,0
2020-01-20,Azerbaijan,0,0
2020-01-19,Azerbaijan,0,0
2020-01-18,Azerbaijan,0,0
2020-01-17,Azerbaijan,0,0
2020-01-16,Azerbaijan,0,0
2020-01-15,Azerbaijan,0,0
2020-01-14,Azerbaijan,0,0
2020-01-13,Azerbaijan,0,0
2020-01-12,Azerbaijan,0,0
2020-01-11,Azerbaijan,0,0
2020-01-10,Azerbaijan,0,0
2020-01-09,Azerbaijan,0,0
2020-01-08,Azerbaijan,0,0
2020-01-07,Azerbaijan,0,0
2020-01-06,Azerbaijan,0,0
2020-01-05,Azerbaijan,0,0
2020-01-04,Azerbaijan,0,0
2020-01-03,Azerbaijan,0,0
2020-01-02,Azerbaijan,0,0
2020-01-01,Azerbaijan,0,0
2019-12-31,Azerbaijan,0,0
2020-03-26,Bahamas,1,0
2020-03-25,Bahamas,0,0
2020-03-24,Bahamas,0,0
2020-03-23,Bahamas,0,0
2020-03-22,Bahamas,0,0
2020-03-21,Bahamas,1,0
2020-03-20,Bahamas,2,0
2020-03-17,Bahamas,0,0
2020-03-16,Bahamas,1,0
2020-03-26,Bahrain,29,0
2020-03-25,Bahrain,51,1
2020-03-24,Bahrain,5,0
2020-03-23,Bahrain,28,1
2020-03-22,Bahrain,21,0
2020-03-21,Bahrain,16,0
2020-03-20,Bahrain,13,0
2020-03-19,Bahrain,19,0
2020-03-18,Bahrain,16,0
2020-03-17,Bahrain,7,1
2020-03-16,Bahrain,3,0
2020-03-15,Bahrain,1,0
2020-03-14,Bahrain,48,0
2020-03-13,Bahrain,0,0
2020-03-12,Bahrain,52,0
2020-03-11,Bahrain,1,0
2020-03-10,Bahrain,30,0
2020-03-09,Bahrain,16,0
2020-03-08,Bahrain,7,0
2020-03-07,Bahrain,4,0
2020-03-06,Bahrain,0,0
2020-03-05,Bahrain,3,0
2020-03-04,Bahrain,2,0
2020-03-02,Bahrain,6,0
2020-03-01,Bahrain,3,0
2020-02-29,Bahrain,5,0
2020-02-28,Bahrain,0,0
2020-02-27,Bahrain,10,0
2020-02-26,Bahrain,21,0
2020-02-25,Bahrain,1,0
2020-02-24,Bahrain,1,0
2020-02-23,Bahrain,0,0
2020-02-22,Bahrain,0,0
2020-02-21,Bahrain,0,0
2020-02-20,Bahrain,0,0
2020-02-19,Bahrain,0,0
2020-02-18,Bahrain,0,0
2020-02-17,Bahrain,0,0
2020-02-16,Bahrain,0,0
2020-02-15,Bahrain,0,0
2020-02-14,Bahrain,0,0
2020-02-13,Bahrain,0,0
2020-02-12,Bahrain,0,0
2020-02-11,Bahrain,0,0
2020-02-10,Bahrain,0,0
2020-02-09,Bahrain,0,0
2020-02-08,Bahrain,0,0
2020-02-07,Bahrain,0,0
2020-02-06,Bahrain,0,0
2020-02-05,Bahrain,0,0
2020-02-04,Bahrain,0,0
2020-02-03,Bahrain,0,0
2020-02-02,Bahrain,0,0
2020-02-01,Bahrain,0,0
2020-01-31,Bahrain,0,0
2020-01-30,Bahrain,0,0
2020-01-29,Bahrain,0,0
2020-01-28,Bahrain,0,0
2020-01-27,Bahrain,0,0
2020-01-26,Bahrain,0,0
2020-01-25,Bahrain,0,0
2020-01-24,Bahrain,0,0
2020-01-23,Bahrain,0,0
2020-01-22,Bahrain,0,0
2020-01-21,Bahrain,0,0
2020-01-20,Bahrain,0,0
2020-01-19,Bahrain,0,0
2020-01-18,Bahrain,0,0
2020-01-17,Bahrain,0,0
2020-01-16,Bahrain,0,0
2020-01-15,Bahrain,0,0
2020-01-14,Bahrain,0,0
2020-01-13,Bahrain,0,0
2020-01-12,Bahrain,0,0
2020-01-11,Bahrain,0,0
2020-01-10,Bahrain,0,0
2020-01-09,Bahrain,0,0
2020-01-08,Bahrain,0,0
2020-01-07,Bahrain,0,0
2020-01-06,Bahrain,0,0
2020-01-05,Bahrain,0,0
2020-01-04,Bahrain,0,0
2020-01-03,Bahrain,0,0
2020-01-02,Bahrain,0,0
2020-01-01,Bahrain,0,0
2019-12-31,Bahrain,0,0
2020-03-26,Bangladesh,0,1
2020-03-25,Bangladesh,6,1
2020-03-24,Bangladesh,6,0
2020-03-23,Bangladesh,3,1
2020-03-22,Bangladesh,7,2
2020-03-21,Bangladesh,7,0
2020-03-20,Bangladesh,0,0
2020-03-19,Bangladesh,2,0
2020-03-18,Bangladesh,3,0
2020-03-17,Bangladesh,2,0
2020-03-15,Bangladesh,0,0
2020-03-09,Bangladesh,3,0
2020-03-26,Barbados,0,0
2020-03-25,Barbados,1,0
2020-03-24,Barbados,0,0
2020-03-23,Barbados,3,0
2020-03-22,Barbados,8,0
2020-03-21,Barbados,4,0
2020-03-20,Barbados,1,0
2020-03-19,Barbados,0,0
2020-03-18,Barbados,1,0
2020-03-26,Belarus,5,0
2020-03-25,Belarus,0,0
2020-03-24,Belarus,5,0
2020-03-23,Belarus,0,0
2020-03-22,Belarus,19,0
2020-03-21,Belarus,0,0
2020-03-20,Belarus,11,0
2020-03-19,Belarus,10,0
2020-03-18,Belarus,0,0
2020-03-17,Belarus,9,0
2020-03-16,Belarus,6,0
2020-03-13,Belarus,9,0
2020-03-12,Belarus,3,0
2020-03-11,Belarus,3,0
2020-03-05,Belarus,2,0
2020-03-04,Belarus,3,0
2020-03-02,Belarus,0,0
2020-03-01,Belarus,0,0
2020-02-29,Belarus,0,0
2020-02-28,Belarus,1,0
2020-02-27,Belarus,0,0
2020-02-26,Belarus,0,0
2020-02-25,Belarus,0,0
2020-02-24,Belarus,0,0
2020-02-23,Belarus,0,0
2020-02-22,Belarus,0,0
2020-02-21,Belarus,0,0
2020-02-20,Belarus,0,0
2020-02-19,Belarus,0,0
2020-02-18,Belarus,0,0
2020-02-17,Belarus,0,0
2020-02-16,Belarus,0,0
2020-02-15,Belarus,0,0
2020-02-14,Belarus,0,0
2020-02-13,Belarus,0,0
2020-02-12,Belarus,0,0
2020-02-11,Belarus,0,0
2020-02-10,Belarus,0,0
2020-02-09,Belarus,0,0
2020-02-08,Belarus,0,0
2020-02-07,Belarus,0,0
2020-02-06,Belarus,0,0
2020-02-05,Belarus,0,0
2020-02-04,Belarus,0,0
2020-02-03,Belarus,0,0
2020-02-02,Belarus,0,0
2020-02-01,Belarus,0,0
2020-01-31,Belarus,0,0
2020-01-30,Belarus,0,0
2020-01-29,Belarus,0,0
2020-01-28,Belarus,0,0
2020-01-27,Belarus,0,0
2020-01-26,Belarus,0,0
2020-01-25,Belarus,0,0
2020-01-24,Belarus,0,0
2020-01-23,Belarus,0,0
2020-01-22,Belarus,0,0
2020-01-21,Belarus,0,0
2020-01-20,Belarus,0,0
2020-01-19,Belarus,0,0
2020-01-18,Belarus,0,0
2020-01-17,Belarus,0,0
2020-01-16,Belarus,0,0
2020-01-15,Belarus,0,0
2020-01-14,Belarus,0,0
2020-01-13,Belarus,0,0
2020-01-12,Belarus,0,0
2020-01-11,Belarus,0,0
2020-01-10,Belarus,0,0
2020-01-09,Belarus,0,0
2020-01-08,Belarus,0,0
2020-01-07,Belarus,0,0
2020-01-06,Belarus,0,0
2020-01-05,Belarus,0,0
2020-01-04,Belarus,0,0
2020-01-03,Belarus,0,0
2020-01-02,Belarus,0,0
2020-01-01,Belarus,0,0
2019-12-31,Belarus,0,0
2020-03-26,Belgium,668,56
2020-03-25,Belgium,526,34
2020-03-24,Belgium,342,13
2020-03-23,Belgium,586,8
2020-03-22,Belgium,558,30
2020-03-21,Belgium,462,16
2020-03-20,Belgium,309,7
2020-03-19,Belgium,243,9
2020-03-18,Belgium,158,0
2020-03-17,Belgium,199,1
2020-03-16,Belgium,197,0
2020-03-15,Belgium,130,1
2020-03-14,Belgium,160,0
2020-03-13,Belgium,85,0
2020-03-12,Belgium,47,3
2020-03-11,Belgium,28,0
2020-03-10,Belgium,39,0
2020-03-09,Belgium,31,0
2020-03-08,Belgium,60,0
2020-03-07,Belgium,59,0
2020-03-06,Belgium,27,0
2020-03-05,Belgium,10,0
2020-03-04,Belgium,5,0
2020-03-03,Belgium,6,0
2020-03-02,Belgium,1,0
2020-03-01,Belgium,0,0
2020-02-29,Belgium,0,0
2020-02-28,Belgium,0,0
2020-02-27,Belgium,0,0
2020-02-26,Belgium,0,0
2020-02-25,Belgium,0,0
2020-02-24,Belgium,0,0
2020-02-23,Belgium,0,0
2020-02-22,Belgium,0,0
2020-02-21,Belgium,0,0
2020-02-20,Belgium,0,0
2020-02-19,Belgium,0,0
2020-02-18,Belgium,0,0
2020-02-17,Belgium,0,0
2020-02-16,Belgium,0,0
2020-02-15,Belgium,0,0
2020-02-14,Belgium,0,0
2020-02-13,Belgium,0,0
2020-02-12,Belgium,0,0
2020-02-11,Belgium,0,0
2020-02-10,Belgium,0,0
2020-02-09,Belgium,0,0
2020-02-08,Belgium,0,0
2020-02-07,Belgium,0,0
2020-02-06,Belgium,0,0
2020-02-05,Belgium,0,0
2020-02-04,Belgium,1,0
2020-02-03,Belgium,0,0
2020-02-02,Belgium,0,0
2020-02-01,Belgium,0,0
2020-01-31,Belgium,0,0
2020-01-30,Belgium,0,0
2020-01-29,Belgium,0,0
2020-01-28,Belgium,0,0
2020-01-27,Belgium,0,0
2020-01-26,Belgium,0,0
2020-01-25,Belgium,0,0
2020-01-24,Belgium,0,0
2020-01-23,Belgium,0,0
2020-01-22,Belgium,0,0
2020-01-21,Belgium,0,0
2020-01-20,Belgium,0,0
2020-01-19,Belgium,0,0
2020-01-18,Belgium,0,0
2020-01-17,Belgium,0,0
2020-01-16,Belgium,0,0
2020-01-15,Belgium,0,0
2020-01-14,Belgium,0,0
2020-01-13,Belgium,0,0
2020-01-12,Belgium,0,0
2020-01-11,Belgium,0,0
2020-01-10,Belgium,0,0
2020-01-09,Belgium,0,0
2020-01-08,Belgium,0,0
2020-01-07,Belgium,0,0
2020-01-06,Belgium,0,0
2020-01-05,Belgium,0,0
2020-01-04,Belgium,0,0
2020-01-03,Belgium,0,0
2020-01-02,Belgium,0,0
2020-01-01,Belgium,0,0
2019-12-31,Belgium,0,0
2020-03-26,Belize,1,0
2020-03-25,Belize,0,0
2020-03-24,Belize,1,0
2020-03-26,Benin,0,0
2020-03-25,Benin,0,0
2020-03-24,Benin,3,0
2020-03-23,Benin,0,0
2020-03-22,Benin,0,0
